LC08_L1TP_012043_20170411_20170415_01_T1,LC80120432017101LGN00,2017-04-11 15:31:22.946129,4.76,L1TP,12,43,23.47861,-77.28701,25.59306,-74.99902,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/012/043/LC08_L1TP_012043_20170411_20170415_01_T1/index.html
LC08_L1TP_020045_20170403_20170414_01_T1,LC80200452017093LGN00,2017-04-03 16:21:41.331358,0.01,L1TP,20,45,20.58832,-90.31323,22.70982,-88.05569,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/020/045/LC08_L1TP_020045_20170403_20170414_01_T1/index.html
LC08_L1TP_020046_20170403_20170414_01_T1,LC80200462017093LGN00,2017-04-03 16:22:05.222396,0.28,L1TP,20,46,19.14717,-90.64087,21.26829,-88.39995,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/020/046/LC08_L1TP_020046_20170403_20170414_01_T1/index.html
LC08_L1TP_013044_20170402_20170414_01_T1,LC80130442017092LGN00,2017-04-02 15:38:02.137936,0.65,L1TP,13,44,22.04622,-79.13224,24.16319,-76.94865,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/013/044/LC08_L1TP_013044_20170402_20170414_01_T1/index.html
LC08_L1TP_015025_20170331_20170414_01_T1,LC80150252017090LGN00,2017-03-31 15:42:50.777575,0.01,L1TP,15,25,49.17538,-74.44641,51.35534,-71.25675,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/015/025/LC08_L1TP_015025_20170331_20170414_01_T1/index.html
LC08_L1TP_015026_20170331_20170414_01_T1,LC80150262017090LGN00,2017-03-31 15:43:14.660141,0.11,L1TP,15,26,47.76829,-74.97863,49.93496,-71.86755,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/015/026/LC08_L1TP_015026_20170331_20170414_01_T1/index.html
LC08_L1TP_022031_20170401_20170414_01_T1,LC80220312017091LGN00,2017-04-01 16:28:29.404945,0.21,L1TP,22,31,40.68062,-88.21334,42.81153,-85.42263,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/022/031/LC08_L1TP_022031_20170401_20170414_01_T1/index.html
LC08_L1TP_017040_20170329_20170414_01_T1,LC80170402017088LGN00,2017-03-29 16:01:11.471007,8.77,L1TP,17,40,27.78201,-83.99091,29.90753,-81.58075,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/017/040/LC08_L1TP_017040_20170329_20170414_01_T1/index.html
LC08_L1TP_017041_20170329_20170414_01_T1,LC80170412017088LGN00,2017-03-29 16:01:35.362046,3.88,L1TP,17,41,26.33999,-84.34439,28.46794,-81.95829,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/017/041/LC08_L1TP_017041_20170329_20170414_01_T1/index.html
LC08_L1TP_026046_20170328_20170414_01_T1,LC80260462017087LGN00,2017-03-28 16:59:12.629586,6.18,L1TP,26,46,19.16956,-99.87527,21.27559,-97.69805,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/026/046/LC08_L1TP_026046_20170328_20170414_01_T1/index.html
